Data;Último;Abertura;Máxima;Mínima;Vol.;Var%
jun/15;63,59;65,59;66,36;60,94;4,82M;-3,00%
mai/15;65,56;66,78;69,63;61,24;4,28M;-1,83%
abr/15;66,78;55,18;66,93;54;4,36M;21,18%
mar/15;55,11;62,5;62,5;52,5;4,58M;-11,94%
fev/15;62,58;52,68;63;51,41;5,13M;18,10%
jan/15;52,99;58,02;58,54;45,19;5,06M;-7,57%
dez/14;57,33;70,15;73,03;55,81;4,14M;-18,28%
nov/14;70,15;85,85;86,4;69,78;4,42M;-18,30%
out/14;85,86;94,77;96,23;82,6;4,87M;-9,31%
set/14;94,67;102,95;103,3;94,24;3,92M;-8,26%
ago/14;103,19;105,6;106,85;101,07;3,40M;-2,67%
jul/14;106,02;112,5;112,83;104,39;4,16M;-5,64%
jun/14;112,36;109,7;115,71;107,77;3,92M;2,70%
mai/14;109,41;108,08;111,04;106,85;3,57M;1,24%
abr/14;108,07;107,66;110,65;103,95;3,72M;0,29%
mar/14;107,76;109,44;112,39;105,41;3,53M;-1,20%
fev/14;109,07;106,4;110,82;105,4;3,28M;2,51%
jan/14;106,4;111;111,35;105,44;3,92M;-3,97%
dez/13;110,8;109,6;113,02;107,8;3,10M;1,01%
nov/13;109,69;109,05;111,66;102,98;4,18M;0,78%
out/13;108,84;108,38;112;106,27;4,40M;0,43%
set/13;108,37;114;116,56;107,22;3,54M;-4,95%
ago/13;114,01;107,81;117,34;105,85;4,05M;5,86%
jul/13;107,7;101,9;109,72;101,63;4,01M;5,42%
jun/13;102,16;100,15;106,67;99,66;3,89M;1,76%
mai/13;100,39;101,82;105,94;98,76;4,31M;-1,93%
abr/13;102,37;110,15;111,79;96,75;4,68M;-6,95%
mar/13;110,02;110,9;112,23;106,8;3,71M;-1,22%
fev/13;111,38;115,77;119,17;110,87;3,74M;-3,61%
jan/13;115,55;111,5;115,76;109,45;3,83M;4,00%
dez/12;111,11;110,96;112,33;106,63;2,73M;-0,11%
nov/12;111,23;108,49;112,2;104,76;3,99M;2,33%
out/12;108,7;112,34;116,2;106,8;4,26M;-3,28%
set/12;112,39;114,7;117,95;107,1;3,76M;-1,90%
ago/12;114,57;104,4;117,03;104,06;3,87M;9,20%
jul/12;104,92;97,6;108,18;95,3;4,21M;7,28%
jun/12;97,8;101,69;102,45;88,49;4,84M;-4,00%
mai/12;101,87;119,28;120,02;101,27;4,54M;-14,73%
abr/12;119,47;122,94;125,97;116,7;3,80M;-2,78%
mar/12;122,88;123;128,4;120,97;3,79M;0,18%
fev/12;122,66;111,3;125,55;111,02;3,83M;10,52%
jan/12;110,98;108,35;115,12;108,35;3,76M;3,35%
dez/11;107,38;110,75;111,62;102,37;2,68M;-2,84%
nov/11;110,52;109,09;116,48;105,65;4,26M;0,88%
out/11;109,56;102;114,8;99,11;4,03M;6,62%
set/11;102,76;114,85;116,6;101,66;4,08M;-10,53%
ago/11;114,85;117;120,4;98,74;4,95M;-1,62%
jul/11;116,74;111,8;119,87;109,5;3,29M;3,79%
jun/11;112,48;117,07;121,47;102,28;4,72M;-3,64%
mai/11;116,73;126,1;126,54;105,15;4,61M;-7,28%
abr/11;125,89;117,61;127,02;116,75;3,08M;7,27%
mar/11;117,36;111,9;118,5;107,35;3,76M;4,97%
fev/11;111,8;101,01;119,79;97,51;3,68M;10,68%
jan/11;101,01;94,75;101,73;92,37;3,58M;6,61%
